NO;TANGGAL PENDAFTARAN;DATE;MONTH;YEAR;NAMA AGEN;ID;PROVINSI;KAB/KOTA;KECAMATAN;KELURAHAN;DETAIL ALAMAT;NOMOR WA;AKUN IG;EMAIL;NOMOR SURAT
1;20/04/2025;20;APRIL;2025;AGEN-001;ATRV-001IV25;DKI JAKARTA;KOTA ADMINISTRASI JAKARTA TIMUR;CIPAYUNG;;;;;;ATRU-01/20/IV/2025
2;20/04/2025;20;APRIL;2025;AGEN-002;ATRV-002IV25;JAWA BARAT;KABUPATEN BEKASI;CIKARANG TIMUR;;;;;;ATRU-02/20/IV/2025
3;20/04/2025;20;APRIL;2025;AGEN-003;ATRV-003IV25;JAWA BARAT;KABUPATEN BEKASI;SETU;;;;;;ATRU-03/20/IV/2025
4;22/04/2025;22;APRIL;2025;AGEN-004;ATRV-004IV25;JAWA BARAT;KOTA DEPOK;BEJI;;;;;;ATRU-04/22/IV/2025
5;23/04/2025;23;APRIL;2025;AGEN-005;ATRV-005IV25;JAWA BARAT;KOTA BEKASI;PONDOK GEDE;;;;;;ATRU-05/23/IV/2025
6;23/04/2025;23;APRIL;2025;AGEN-006;ATRV-006IV25;JAWA TIMUR;KABUPATEN JEMBER;SUMBERSARI;;;;;;ATRU-06/23/IV/2025
7;23/04/2025;23;APRIL;2025;AGEN-007;ATRV-007IV25;JAWA BARAT;KOTA BEKASI;PONDOK MELATI;;;;;;ATRU-07/23/IV/2025
8;02/05/2025;2;MEI;2025;AGEN-008;ATRV-001V25;BANTEN;KABUPATEN TANGERANG;KELAPA DUA;;;;;;ATRU-08/02/IV/2025
9;02/05/2025;2;MEI;2025;AGEN-009;ATRV-002V25;JAWA BARAT;KOTA BEKASI;PONDOK MELATI;;;;;;ATRU-09/02/IV/2025
10;09/05/2025;9;MEI;2025;AGEN-010;ATRV-003V25;JAWA BARAT;KABUPATEN BEKASI;TAMBUN SELATAN;;;;;;ATRU-10/09/IV/2025
11;10/05/2025;10;MEI;2025;AGEN-011;ATRV-004V25;JAWA BARAT;KABUPATEN BEKASI;PONDOK MELATI;;;;;;ATRU-11/10/IV/2025
12;14/05/2025;14;MEI;2025;AGEN-012;ATRV-005V25;JAWA BARAT;KOTA BEKASI;JATI ASIH;;;;;;ATRU-12/14/IV/2025
13;23/05/2025;23;MEI;2025;AGEN-013;ATRV-006V25;JAWA BARAT;KABUPATEN BEKASI;TAMBUN SELATAN;;;;;;ATRU-13/23/IV/2025
14;28/05/2025;28;MEI;2025;AGEN-014;ATRV-007V25;JAWA BARAT;KOTA BEKASI;PONDOK MELATI;;;;;;ATRU-14/28/IV/2025
15;30/05/2025;30;MEI;2025;AGEN-015;ATRV-008V25;JAWA BARAT;KOTA BEKASI;JATISAMPURNA;;;;;;ATRU-15/30/IV/2025
16;31/05/2025;31;MEI;2025;AGEN-016;ATRV-009V25;DKI JAKARTA;KOTA ADMINISTRASI JAKARTA TIMUR;;;;;;;ATRU-16/31/IV/2025
17;04/06/2025;4;JUNI;2025;AGEN-017;ATRV-001VI25;JAWA BARAT;KABUPATEN BOGOR;TANAH SAREAL;;;;;;ATRU-17/04/IV/2025
18;04/06/2025;4;JUNI;2025;AGEN-018;ATRV-002VI25;JAWA BARAT;KOTA BEKASI;PONDOK GEDE;;;;;;ATRU-18/04/IV/2025
